,Node,VLAN_ID,Interfaces,VXLAN_VNI
0,switch1,1,[switch1[Vlan1]],
1,switch1,200,"[switch1[GigabitEthernet1/0/5], switch1[GigabitEthernet1/0/6], switch1[GigabitEthernet1/0/7], switch1[GigabitEthernet1/0/8], switch1[GigabitEthernet1/0/24], switch1[Vlan200]]",
2,switch2,300,"[switch2[GigabitEthernet1/0/5], switch2[GigabitEthernet1/0/6], switch2[GigabitEthernet1/0/7], switch2[GigabitEthernet1/0/8], switch2[GigabitEthernet1/0/24], switch2[Vlan300]]",
3,switch1,100,"[switch1[GigabitEthernet1/0/1], switch1[GigabitEthernet1/0/2], switch1[GigabitEthernet1/0/3], switch1[GigabitEthernet1/0/4], switch1[GigabitEthernet1/0/23], switch1[Vlan100]]",
4,switch2,200,"[switch2[GigabitEthernet1/0/1], switch2[GigabitEthernet1/0/2], switch2[GigabitEthernet1/0/3], switch2[GigabitEthernet1/0/4], switch2[GigabitEthernet1/0/23], switch2[Vlan200]]",
5,switch2,1,[switch2[Vlan1]],
