,Interface,Access_VLAN,Allowed_VLANs,Channel_Group,Channel_Group_Members,Description,Primary_Address,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF
56,regiona-ce02[Ethernet6],,"10,110",Port-Channel2,[],to_RegionA-Acc01_Ethernet4,,True,TRUNK,DOT1Q,default
57,regiona-ce02[Ethernet7],,"20,120",Port-Channel3,[],to_RegionA-Acc01_Ethernet7,,True,TRUNK,DOT1Q,default
58,regiona-ce02[Ethernet8],,"20,120",Port-Channel3,[],to_RegionA-Acc01_Ethernet8,,True,TRUNK,DOT1Q,default
59,regiona-ce02[Ethernet9],1,,,[],,,True,ACCESS,DOT1Q,default
60,regiona-ce02[Ethernet10],1,,,[],,,True,ACCESS,DOT1Q,default
61,regiona-ce02[Ethernet11],1,,,[],,,True,ACCESS,DOT1Q,default
62,regiona-ce02[Ethernet12],1,,,[],,,True,ACCESS,DOT1Q,default
63,regiona-ce02[Ethernet13],1,,,[],,,True,ACCESS,DOT1Q,default
64,regiona-ce02[Ethernet14],1,,,[],,,True,ACCESS,DOT1Q,default
65,regiona-ce02[Ethernet15],1,,,[],,,True,ACCESS,DOT1Q,default
66,regiona-ce02[Ethernet16],1,,,[],,,True,ACCESS,DOT1Q,default
67,regiona-ce02[Ethernet17],1,,,[],,,True,ACCESS,DOT1Q,default
68,regiona-ce02[Ethernet18],1,,,[],,,True,ACCESS,DOT1Q,default
69,regiona-ce02[Ethernet19],1,,,[],,,True,ACCESS,DOT1Q,default
70,regiona-ce02[Management1],,,,[],,10.0.0.15/24,False,NONE,DOT1Q,default
71,regiona-ce02[Port-Channel1],,,,"['Ethernet3', 'Ethernet4']",,172.16.5.2/30,False,NONE,DOT1Q,default
72,regiona-ce02[Port-Channel2],,"10,110",,"['Ethernet5', 'Ethernet6']",,,True,TRUNK,DOT1Q,default
73,regiona-ce02[Port-Channel3],,"20,120",,"['Ethernet7', 'Ethernet8']",,,True,TRUNK,DOT1Q,default
74,regiona-ce02[Vlan10],,,,[],,172.30.10.2/24,False,NONE,DOT1Q,default
75,regiona-ce02[Vlan20],,,,[],,172.30.20.2/24,False,NONE,DOT1Q,default
76,regiona-ce02[Vlan110],,,,[],,172.30.110.2/24,False,NONE,DOT1Q,vrf1
77,regiona-ce02[Vlan120],,,,[],,172.30.120.2/24,False,NONE,DOT1Q,vrf1
78,regiona-pe01[fxp0],,,,[],,,False,NONE,DOT1Q,default
79,regiona-pe01[fxp0.0],,,,[],,10.0.0.15/24,False,NONE,DOT1Q,default
80,regiona-pe01[ge-0/0/0],,,,[],to_RegionB-PE01_ge-0/0/0,,False,NONE,DOT1Q,default
81,regiona-pe01[ge-0/0/0.0],,,,[],to_RegionB-PE01_ge-0/0/0,10.1.0.1/30,False,NONE,DOT1Q,default
82,regiona-pe01[ge-0/0/1],,,,[],to_RegionA-PE02_ge-0/0/1,,False,NONE,DOT1Q,default
83,regiona-pe01[ge-0/0/1.0],,,,[],to_RegionA-PE02_ge-0/0/1,172.16.0.1/30,False,NONE,DOT1Q,default
84,regiona-pe01[ge-0/0/2],,,,[],to_RegionA-CE01_Ethernet1,,False,NONE,DOT1Q,default
85,regiona-pe01[ge-0/0/2.0],,,,[],to_RegionA-CE01_Ethernet1,172.16.1.1/30,False,NONE,DOT1Q,default
86,regiona-pe01[ge-0/0/4],,,,[],to_RegionB-PE02_ge-0/0/4,,False,NONE,DOT1Q,default
87,regiona-pe01[ge-0/0/4.0],,,,[],to_RegionB-PE02_ge-0/0/4,10.1.2.1/30,False,NONE,DOT1Q,default
88,regiona-pe02[fxp0],,,,[],,,False,NONE,DOT1Q,default
89,regiona-pe02[fxp0.0],,,,[],,10.0.0.15/24,False,NONE,DOT1Q,default
90,regiona-pe02[ge-0/0/0],,,,[],to_RegionB-PE02_ge-0/0/0,,False,NONE,DOT1Q,default
91,regiona-pe02[ge-0/0/0.0],,,,[],to_RegionB-PE02_ge-0/0/0,10.1.1.1/30,False,NONE,DOT1Q,default
92,regiona-pe02[ge-0/0/1],,,,[],to_RegionA-PE01_ge-0/0/1,,False,NONE,DOT1Q,default
93,regiona-pe02[ge-0/0/1.0],,,,[],to_RegionA-PE01_ge-0/0/1,172.16.0.2/30,False,NONE,DOT1Q,default
94,regiona-pe02[ge-0/0/3],,,,[],to_RegionA-CE02_Ethernet2,,False,NONE,DOT1Q,default
95,regiona-pe02[ge-0/0/3.0],,,,[],to_RegionA-CE02_Ethernet2,172.16.4.1/30,False,NONE,DOT1Q,default
96,regiona-pe02[ge-0/0/4],,,,[],to_RegionB-PE01_ge-0/0/4,,False,NONE,DOT1Q,default
97,regiona-pe02[ge-0/0/4.0],,,,[],to_RegionB-PE01_ge-0/0/4,10.1.3.1/30,False,NONE,DOT1Q,default
98,regiona-svr01[enp1s4],,,,[],,172.30.10.100/24,False,NONE,DOT1Q,default
99,regiona-svr01[enp1s5],,,,[],,172.30.110.100/24,False,NONE,DOT1Q,default
100,regiona-svr01[ens4],,,,[],,10.0.0.15/24,False,NONE,DOT1Q,default
101,regiona-svr02[enp1s4],,,,[],,172.30.10.101/24,False,NONE,DOT1Q,default
102,regiona-svr02[enp1s5],,,,[],,172.30.110.101/24,False,NONE,DOT1Q,default
